,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
86,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),2185,1.0,570.0,1225.0,0.0,0.0012
87,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),1457,1.0,573.0,1106.0,0.0,0.001
88,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),728,1.0,626.0,1077.0,0.0,0.0008
89,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),291,1.0,4837.0,792.0,0.0,0.0045
90,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",2622,1.0,1105.0,403.0,5.0,0.0015
91,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",2185,1.0,934.0,294.0,3.0,0.0012
92,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",1457,1.0,835.0,294.0,3.0,0.001
93,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",728,1.0,917.0,471.0,6.0,0.0009
94,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",291,1.0,1336.0,706.0,9.0,0.001
95,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*,11317.0,1.0,1777.0,1752.0,0.0,0.0038
96,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,3839.0,1752.0,0.0,0.0038
97,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM,3835.0,1.0,737.0,737.0,0.0,0.0015
98,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,914.0,737.0,0.0,0.0015
99,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),3451,1.0,119440.0,118339.0,0.0,0.1557
