,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
93,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),44146,1.0,8184.0,0.0348
94,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),36789,1.0,7587.0,0.0297
95,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),24526,1.0,10131.0,0.0291
96,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),12263,1.0,9198.0,0.0227
97,16.0,0.0,14.0, 4 6 5 7 1 2 3 0 13 10 11 12 8 9 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),4905,1.0,9374.0,0.0183
98,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MM,137248.0,1.0,17778.0,0.1131
99,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-MM,-,1.0,41607.0,0.1131
100,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.90),123523,1.0,218204.0,0.4786
101,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.75),102936,1.0,216509.0,0.4556
102,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.50),68624,1.0,319609.0,0.5907
103,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.25),34312,1.0,409702.0,0.7301
104,16.0,0.0,15.0, 8 11 10 13 12 9 15 14 0 1 7 5 6 3 4 2, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.10),13724,1.0,2275429.0,3.8449
105,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,MM,28158.0,1.0,2114.0,0.0135
106,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,I-MM,-,1.0,5745.0,0.0135
107,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,MBBDS(k=1)(0.90),25342,1.0,20371.0,0.0459
108,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,MBBDS(k=1)(0.75),21118,1.0,20044.0,0.0434
109,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,MBBDS(k=1)(0.50),14079,1.0,19519.0,0.0397
110,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,MBBDS(k=1)(0.25),7039,1.0,29117.0,0.0524
111,16.0,0.0,16.0, 14 15 11 12 13 9 10 8 7 4 5 6 1 2 3 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,7.0,MBBDS(k=1)(0.10),2815,1.0,43006.0,0.0742
112,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,3398.0,1.0,245.0,0.0015
113,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,826.0,0.0015
114,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),3058,1.0,7240.0,0.011
115,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),2548,1.0,7203.0,0.0109
116,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),1699,1.0,10455.0,0.0154
117,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),849,1.0,13068.0,0.0182
118,16.0,0.0,17.0, 10 11 8 9 13 12 15 14 0 2 1 4 3 6 5 7, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),339,1.0,58253.0,0.0795
119,16.0,0.0,18.0, 2 4 3 6 5 7 0 1 8 11 10 13 12 15 14 9, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MM,25440.0,1.0,1881.0,0.0118
